timepoint;particle_concentration;treatment;absorption;relative_metabolic_activity
72;75;PS_Irgafos;0.0821;75.14092894
72;75;PS_Irgafos;0.0837;76.66534339
72;75;PS_Irgafos;0.0827;75.71258436
72;75;PS_Irgafos;0.083;75.99841207
72;75;PS_Irgafos;0.0831;76.09368797
72;75;PS_Irgafos;0.0775;70.7582374
144;75;PS;0.0859;128.4318766
144;75;PS;0.0928;139.0745501
144;75;PS;0.0875;130.8997429
144;75;PS;0.0879;131.5167095
144;75;PS;0.0878;131.3624679
144;75;PS;0.0875;130.8997429
144;75;PS_Irgafos;0.0971;80.17271891
144;75;PS_Irgafos;0.0954;78.72867559
144;75;PS_Irgafos;0.0956;78.89856304
144;75;PS_Irgafos;0.0923;76.09542012
144;75;PS_Irgafos;0.0919;75.75564522
144;75;PS_Irgafos;0.0897;73.88688327
24;125;PS;0.0746;112.586409
24;125;PS;0.0729;109.9026479
24;125;PS;0.057;84.80158825
24;125;PS;0.0717;108.0082283
24;125;PS;0.0714;107.5346234
24;125;PS;0.0704;105.9559404
24;125;PS_Irgafos;0.1017;78.64753363
24;125;PS_Irgafos;0.102;78.88430493
24;125;PS_Irgafos;0.1049;81.17309417
24;125;PS_Irgafos;0.1076;83.30403587
24;125;PS_Irgafos;0.1079;83.54080717
24;125;PS_Irgafos;0.1005;77.70044843
72;125;PS;0.0682;101.862064
72;125;PS;0.0686;102.4923011
72;125;PS;0.0721;108.0068753
72;125;PS;0.0673;100.4440307
72;125;PS;0.0711;106.4312827
72;125;PS;0.0717;107.3766383
72;125;PS_Irgafos;0.0787;71.90154823
72;125;PS_Irgafos;0.0801;73.23541088
72;125;PS_Irgafos;0.082;75.04565304
72;125;PS_Irgafos;0.0675;61.23064708
72;125;PS_Irgafos;0.0785;71.71099643
72;125;PS_Irgafos;0.0773;70.56768559
144;125;PS;0.0843;125.9640103
144;125;PS;0.0872;130.437018
144;125;PS;0.0843;125.9640103
144;125;PS;0.0842;125.8097686
144;125;PS;0.0843;125.9640103
144;125;PS;0.0839;125.3470437
144;125;PS_Irgafos;0.1008;83.31563672
144;125;PS_Irgafos;0.1086;89.94124726
144;125;PS_Irgafos;0.101;83.48552417
144;125;PS_Irgafos;0.0983;81.1920436
144;125;PS_Irgafos;0.0989;81.70170595
144;125;PS_Irgafos;0.0998;82.46619948
24;250;PS;0.0702;105.6402038
24;250;PS;0.0734;110.6919894
24;250;PS;0.0738;111.3234626
24;250;PS;0.0715;107.6924917
24;250;PS;0.0704;105.9559404
24;250;PS;0.069;103.7457842
24;250;PS_Irgafos;0.0827;63.65201794
24;250;PS_Irgafos;0.0844;64.99372197
24;250;PS_Irgafos;0.0804;61.8367713
24;250;PS_Irgafos;0.0837;64.44125561
24;250;PS_Irgafos;0.0841;64.75695067
24;250;PS_Irgafos;0.0828;63.7309417
72;250;PS;0.069;103.1225381
72;250;PS;0.0715;107.0615197
72;250;PS;0.0717;107.3766383
72;250;PS;0.0728;109.1097902
72;250;PS;0.0745;111.7882976
72;250;PS;0.0714;106.9039605
72;250;PS_Irgafos;0.0792;72.37792775
72;250;PS_Irgafos;0.0799;73.04485907
72;250;PS_Irgafos;0.081;74.09289401
72;250;PS_Irgafos;0.0822;75.23620484
72;250;PS_Irgafos;0.0788;71.99682414
72;250;PS_Irgafos;0.0805;73.61651449
144;250;PS;0.0828;123.6503856
144;250;PS;0.0807;120.4113111
144;250;PS;0.0815;121.6452442
144;250;PS;0.0818;122.1079692
144;250;PS;0.0792;118.0976864
144;250;PS;0.082;122.4164524
144;250;PS_Irgafos;0.1073;88.83697883
144;250;PS_Irgafos;0.1165;96.65180151
144;250;PS_Irgafos;0.1156;95.88730799
144;250;PS_Irgafos;0.1079;89.34664118
144;250;PS_Irgafos;0.1073;88.83697883
144;250;PS_Irgafos;0.1072;88.75203511
